Number of objects: 10000

Initial data:
Circle 36, 20, 50 blue
Triangle 88, 82, 92, 45, 21, 19 blue
Rectangle 11, 90, 50, 125 blue
Rectangle 12, 14, 47, 53 indigo
Rectangle 38, 54, 77, 89 orange
Rectangle 31, 58, 66, 97 blue
Rectangle 88, 62, 119, 106 red
Rectangle 78, 36, 109, 80 blue
Rectangle 97, 48, 141, 79 blue
Triangle 69, 56, 29, 2, 40, 85 red
Triangle 60, 8, 97, 84, 29, 18 blue
Rectangle 89, 25, 136, 54 violet
Rectangle 23, 12, 70, 41 indigo
Triangle 45, 60, 81, 73, 94, 2 blue
Triangle 56, 7, 62, 89, 29, 92 blue
Rectangle 48, 62, 82, 102 red
Rectangle 75, 97, 109, 137 green
Rectangle 98, 25, 132, 65 yellow
Triangle 74, 41, 43, 92, 45, 1 red
Triangle 72, 39, 39, 83, 17, 30 green
Triangle 28, 62, 78, 80, 15, 3 red
Triangle 25, 53, 57, 82, 80, 18 green
Triangle 21, 94, 30, 11, 59, 45 violet
Triangle 62, 94, 91, 79, 30, 17 yellow
Triangle 7, 19, 75, 20, 85, 60 red
Rectangle 0, 79, 41, 112 orange
Rectangle 90, 66, 131, 99 red
Rectangle 89, 89, 139, 116 violet
Rectangle 67, 59, 112, 89 green
Rectangle 63, 16, 108, 46 violet
Rectangle 47, 67, 92, 97 red
Rectangle 22, 12, 52, 57 blue
Rectangle 37, 30, 87, 57 green
Triangle 0, 75, 97, 32, 84, 10 red
Triangle 2, 59, 61, 35, 65, 79 violet
Rectangle 24, 69, 66, 101 orange
Rectangle 9, 90, 41, 132 yellow
Rectangle 19, 6, 51, 48 indigo
Triangle 48, 35, 20, 84, 92, 54 blue
Rectangle 43, 92, 85, 124 blue
Rectangle 77, 53, 105, 101 blue
Rectangle 86, 2, 118, 44 blue
Rectangle 50, 88, 78, 136 red
Rectangle 19, 73, 47, 121 red
Triangle 30, 91, 8, 31, 55, 37 yellow
Triangle 24, 96, 67, 48, 3, 57 red
Triangle 32, 53, 83, 94, 95, 51 blue
Triangle 39, 34, 51, 99, 85, 60 orange
Triangle 95, 61, 30, 4, 88, 96 blue
Triangle 93, 95, 35, 78, 8, 24 orange
Triangle 91, 5, 93, 79, 57, 83 indigo
Triangle 46, 4, 69, 47, 8, 49 red
Triangle 36, 68, 92, 95, 83, 43 indigo
Rectangle 29, 47, 58, 93 violet
Rectangle 88, 72, 134, 101 indigo
Rectangle 28, 29, 57, 75 orange
Rectangle 61, 11, 90, 57 blue
Rectangle 31, 27, 60, 73 violet
Rectangle 77, 63, 123, 92 green
Rectangle 17, 92, 60, 123 indigo
Rectangle 56, 5, 99, 36 indigo
Rectangle 50, 45, 93, 76 red
Triangle 91, 50, 16, 37, 59, 80 red
Triangle 54, 44, 4, 45, 69, 97 red
Triangle 98, 92, 90, 20, 54, 29 green
Rectangle 57, 10, 95, 45 orange
Triangle 30, 98, 94, 26, 50, 34 red
Triangle 45, 26, 89, 52, 63, 97 blue
Triangle 60, 27, 98, 70, 8, 38 green
Rectangle 84, 93, 118, 132 indigo
Rectangle 55, 16, 89, 55 indigo
Rectangle 71, 53, 110, 87 yellow
Rectangle 26, 93, 65, 127 blue
Rectangle 70, 58, 109, 92 orange
Triangle 5, 39, 63, 15, 84, 52 yellow
Triangle 6, 93, 96, 41, 76, 82 yellow
Triangle 45, 21, 6, 16, 61, 91 orange
Triangle 48, 61, 65, 6, 11, 25 green
Triangle 0, 74, 64, 27, 39, 4 green
Rectangle 4, 86, 31, 135 red
Rectangle 92, 79, 119, 128 violet
Triangle 33, 92, 38, 21, 73, 53 indigo
Triangle 19, 58, 14, 17, 77, 5 violet
Rectangle 5, 1, 49, 31 indigo
Rectangle 63, 32, 93, 76 violet
Rectangle 70, 71, 110, 104 green
Rectangle 82, 26, 112, 70 yellow
Rectangle 46, 15, 76, 59 yellow
Rectangle 42, 38, 82, 71 orange
Triangle 75, 99, 35, 86, 44, 23 blue
Triangle 15, 99, 5, 46, 53, 37 green
Triangle 55, 90, 51, 32, 97, 41 orange
Rectangle 92, 41, 139, 69 green
Rectangle 85, 72, 132, 100 red
Triangle 68, 96, 84, 44, 22, 81 green
Rectangle 82, 96, 110, 143 yellow
Rectangle 82, 27, 110, 74 blue
Rectangle 84, 79, 112, 126 orange
Rectangle 54, 84, 82, 131 red
Triangle 53, 4, 21, 39, 98, 37 indigo
Triangle 17, 22, 24, 78, 62, 7 orange
Rectangle 42, 73, 74, 114 orange
Rectangle 24, 52, 65, 84 violet
Rectangle 18, 40, 59, 72 yellow
Rectangle 21, 98, 62, 130 indigo
Triangle 37, 32, 51, 1, 95, 91 violet
Triangle 24, 10, 22, 90, 55, 78 green
Triangle 64, 13, 53, 70, 11, 50 orange
Triangle 23, 53, 79, 88, 64, 32 red
Triangle 70, 25, 22, 55, 77, 75 red
Rectangle 9, 59, 38, 104 orange
Triangle 31, 22, 99, 53, 28, 59 red
Triangle 63, 95, 64, 17, 30, 62 orange
Triangle 64, 26, 85, 77, 24, 53 blue
Triangle 12, 77, 60, 28, 73, 69 yellow
Rectangle 71, 44, 102, 86 indigo
Rectangle 10, 72, 52, 103 orange
Triangle 44, 35, 96, 32, 97, 82 indigo
Triangle 51, 96, 76, 12, 93, 59 green
Triangle 10, 99, 8, 52, 65, 90 orange
Triangle 13, 65, 53, 66, 55, 1 violet
Rectangle 34, 45, 84, 71 indigo
Triangle 36, 19, 92, 40, 91, 86 orange
Triangle 56, 62, 7, 32, 87, 28 violet
Triangle 14, 89, 56, 80, 71, 15 indigo
Triangle 56, 70, 27, 7, 82, 37 green
Triangle 24, 46, 71, 84, 39, 3 red
Rectangle 55, 8, 92, 43 red
Rectangle 95, 95, 130, 132 orange
Rectangle 0, 5, 37, 40 indigo
Rectangle 79, 21, 114, 58 violet
Rectangle 47, 89, 82, 126 red
Triangle 15, 19, 21, 93, 52, 44 violet
Triangle 48, 22, 37, 75, 85, 79 yellow
Triangle 32, 81, 69, 61, 47, 3 yellow
Triangle 26, 9, 27, 55, 84, 91 green
Triangle 68, 15, 19, 48, 9, 2 red
Rectangle 29, 75, 67, 109 violet
Rectangle 66, 92, 100, 130 yellow
Triangle 51, 3, 43, 91, 76, 51 yellow
Rectangle 63, 45, 101, 79 blue
Triangle 66, 98, 85, 62, 18, 53 yellow
Triangle 56, 17, 63, 86, 92, 3 orange
Rectangle 62, 3, 92, 46 blue
Rectangle 85, 96, 128, 126 yellow
Rectangle 4, 98, 34, 141 green
Rectangle 58, 99, 101, 129 green
Rectangle 64, 42, 94, 85 red
Triangle 9, 13, 50, 51, 65, 2 orange
Triangle 90, 87, 5, 31, 89, 56 red
Triangle 86, 54, 35, 86, 15, 48 indigo
Triangle 33, 95, 61, 13, 74, 67 violet
Triangle 7, 74, 85, 58, 41, 34 green
Rectangle 63, 27, 102, 60 indigo
Rectangle 61, 18, 94, 57 blue
Rectangle 61, 37, 94, 76 violet
Triangle 31, 1, 76, 52, 7, 31 indigo
Rectangle 74, 58, 107, 97 violet
Rectangle 29, 13, 68, 46 red
Triangle 43, 37, 23, 68, 93, 88 green
Triangle 28, 45, 38, 81, 99, 44 indigo
Triangle 7, 48, 33, 85, 96, 76 blue
Triangle 63, 6, 33, 7, 75, 91 violet
Triangle 7, 42, 44, 95, 26, 0 yellow
Rectangle 16, 40, 56, 72 green
Rectangle 46, 31, 86, 63 orange
Triangle 69, 92, 73, 54, 5, 60 orange
Rectangle 39, 61, 71, 101 green
Triangle 74, 96, 77, 57, 13, 36 green
Triangle 44, 60, 19, 92, 11, 0 yellow
Triangle 25, 13, 91, 58, 46, 66 orange
Rectangle 75, 36, 104, 80 indigo
Triangle 3, 46, 55, 74, 31, 12 orange
Rectangle 97, 66, 141, 95 violet
Triangle 46, 83, 5, 65, 67, 30 orange
Triangle 67, 75, 2, 44, 33, 98 yellow
Rectangle 89, 78, 138, 104 indigo
Rectangle 28, 61, 77, 87 blue
Rectangle 16, 12, 42, 61 violet
Triangle 28, 68, 91, 72, 81, 31 green
Rectangle 9, 47, 50, 78 green
Triangle 66, 59, 9, 54, 61, 14 green
Rectangle 49, 76, 96, 103 blue
Triangle 56, 2, 50, 56, 9, 2 green
Triangle 50, 28, 11, 53, 61, 86 red
Triangle 74, 55, 34, 2, 2, 23 indigo
Triangle 77, 96, 74, 34, 36, 94 orange
Triangle 80, 2, 31, 89, 52, 0 green
Triangle 57, 19, 86, 56, 16, 54 indigo
Triangle 1, 5, 80, 18, 74, 49 violet
Triangle 76, 53, 24, 30, 66, 0 orange
Triangle 79, 13, 39, 1, 92, 80 indigo
Triangle 83, 63, 45, 10, 89, 5 blue
Triangle 43, 90, 74, 8, 27, 51 green
Rectangle 62, 91, 92, 133 violet
Rectangle 53, 10, 83, 52 red
Rectangle 28, 96, 64, 131 violet
Rectangle 78, 59, 108, 101 indigo
Rectangle 5, 81, 47, 111 red
Rectangle 45, 33, 90, 61 orange
Rectangle 78, 61, 123, 89 orange
Rectangle 21, 53, 56, 89 violet
Triangle 30, 44, 10, 95, 79, 45 green
Rectangle 32, 63, 66, 100 red
Rectangle 78, 27, 112, 64 yellow
Rectangle 33, 98, 67, 135 red
Rectangle 20, 70, 57, 104 green
Rectangle 56, 47, 93, 81 indigo
Triangle 97, 21, 46, 62, 17, 36 orange
Triangle 6, 5, 31, 78, 49, 30 orange
Circle 26, 72, 20 violet
Circle 78, 27, 20 orange
Circle 39, 95, 20 green
Circle 94, 23, 20 orange
Circle 18, 22, 20 yellow
Circle 5, 56, 20 orange
Circle 23, 45, 20 blue
Circle 9, 15, 20 red
Circle 79, 64, 20 indigo
Circle 86, 75, 20 violet
Circle 36, 71, 20 red
Circle 54, 75, 20 indigo
Circle 72, 99, 20 violet
Circle 69, 23, 20 red
Circle 83, 24, 20 indigo
Circle 83, 88, 20 indigo
Circle 21, 66, 20 orange
Circle 27, 8, 20 yellow
Circle 3, 83, 20 yellow
Circle 76, 33, 20 indigo
Circle 79, 91, 20 blue
Circle 4, 19, 20 red
Circle 27, 15, 20 green
Circle 33, 22, 20 red
Circle 83, 82, 20 green
Circle 43, 1, 20 violet
Circle 99, 57, 20 yellow
Circle 82, 84, 20 red
Circle 74, 95, 20 violet
Circle 92, 5, 20 violet
Circle 19, 36, 20 blue
Circle 61, 17, 20 indigo
Circle 48, 13, 20 orange
Circle 90, 85, 20 indigo
Circle 84, 30, 20 indigo
Circle 34, 19, 20 blue
Circle 50, 69, 20 orange
Circle 88, 54, 20 red
Circle 98, 33, 20 indigo
Circle 20, 94, 20 yellow
Circle 36, 84, 20 blue
Circle 43, 40, 20 orange
Circle 98, 34, 20 green
Circle 99, 44, 20 green
Circle 97, 47, 20 blue
Circle 18, 82, 20 orange
Circle 15, 52, 20 green
Circle 77, 15, 20 green
Circle 26, 89, 20 green
Circle 34, 95, 20 blue
Circle 80, 66, 20 blue
Circle 64, 39, 20 yellow
Circle 69, 99, 20 red
Circle 22, 94, 20 red
Circle 22, 82, 20 green
Circle 60, 44, 20 orange
Circle 72, 95, 20 orange
Circle 43, 56, 20 green
Triangle 99, 61, 49, 90, 21, 56 violet
Triangle 53, 96, 61, 24, 24, 43 red
Triangle 97, 48, 4, 50, 50, 76 indigo
Rectangle 34, 28, 72, 61 violet
Rectangle 79, 29, 112, 67 blue
Triangle 54, 72, 23, 26, 70, 15 red
Triangle 3, 50, 4, 83, 78, 23 indigo
Triangle 53, 38, 94, 85, 19, 60 orange
Rectangle 94, 39, 119, 89 yellow
Rectangle 39, 64, 89, 89 violet
Triangle 10, 44, 54, 87, 63, 39 red
Triangle 3, 59, 15, 18, 68, 45 orange
Rectangle 32, 97, 71, 129 indigo
Rectangle 64, 49, 90, 97 orange
Triangle 97, 56, 91, 27, 1, 8 red
Rectangle 98, 16, 124, 64 yellow
Rectangle 82, 22, 114, 61 blue
Rectangle 0, 66, 39, 98 red
Rectangle 43, 27, 91, 53 orange
Triangle 57, 23, 15, 70, 20, 5 yellow
Triangle 71, 76, 1, 1, 94, 65 orange
Rectangle 12, 15, 41, 58 blue
Rectangle 55, 92, 84, 135 indigo
Rectangle 11, 73, 40, 116 orange
Triangle 27, 91, 61, 76, 65, 1 violet
Triangle 61, 81, 65, 2, 32, 32 green
Triangle 12, 69, 68, 82, 87, 42 yellow
Triangle 44, 16, 24, 81, 61, 85 yellow
Rectangle 95, 83, 141, 110 red
Rectangle 48, 4, 94, 31 red
Triangle 94, 24, 62, 52, 97, 99 orange
Rectangle 19, 0, 65, 27 indigo
Triangle 21, 78, 99, 13, 38, 32 green
Rectangle 47, 69, 78, 109 green
Triangle 33, 50, 99, 16, 32, 13 green
Triangle 31, 84, 10, 33, 47, 5 blue
Triangle 55, 44, 12, 85, 65, 92 violet
Triangle 79, 30, 10, 80, 13, 42 red
Triangle 23, 28, 8, 82, 71, 20 violet
Triangle 98, 38, 60, 1, 22, 29 green
Triangle 89, 31, 48, 91, 67, 3 indigo
Triangle 14, 99, 66, 35, 21, 43 indigo
Triangle 84, 71, 49, 15, 93, 15 yellow
Rectangle 30, 21, 58, 65 red
Rectangle 20, 38, 48, 82 red
Rectangle 70, 25, 98, 69 indigo
Triangle 30, 97, 56, 46, 21, 20 yellow
Rectangle 4, 33, 34, 74 violet
Rectangle 49, 39, 90, 69 blue
Rectangle 26, 96, 67, 126 violet
Triangle 24, 49, 83, 75, 30, 10 violet
Triangle 67, 17, 10, 63, 82, 48 violet
Triangle 37, 38, 44, 1, 97, 71 violet
Triangle 90, 4, 39, 87, 63, 96 blue
Triangle 43, 53, 99, 78, 1, 78 green
Rectangle 65, 35, 100, 70 green
Triangle 99, 36, 66, 95, 67, 19 blue
Triangle 74, 40, 21, 12, 85, 92 blue
Rectangle 15, 7, 49, 43 yellow
Triangle 20, 49, 62, 24, 91, 65 violet
Triangle 17, 39, 36, 69, 84, 16 indigo
Triangle 50, 39, 44, 98, 93, 24 blue
Rectangle 13, 0, 39, 47 blue
Rectangle 27, 90, 53, 137 yellow
Rectangle 45, 83, 71, 130 orange
Rectangle 86, 77, 133, 103 green
Triangle 64, 20, 38, 60, 75, 97 orange
Triangle 78, 87, 14, 98, 48, 54 red
Rectangle 10, 95, 43, 132 orange
Triangle 70, 70, 19, 77, 35, 27 indigo
Triangle 59, 60, 76, 23, 17, 8 blue
Rectangle 85, 45, 114, 87 red
Triangle 65, 15, 25, 29, 79, 71 red
Rectangle 42, 54, 71, 96 indigo
Rectangle 59, 80, 101, 109 violet
Rectangle 94, 97, 126, 135 indigo
Rectangle 43, 51, 81, 83 red
Rectangle 79, 2, 106, 47 green
Triangle 41, 87, 6, 39, 69, 56 violet
Triangle 52, 57, 4, 54, 77, 8 yellow
Triangle 38, 27, 11, 73, 79, 47 yellow
Triangle 69, 7, 23, 81, 35, 9 red
Triangle 21, 51, 71, 28, 22, 99 indigo
Triangle 46, 95, 14, 21, 48, 24 indigo
Triangle 99, 5, 1, 46, 17, 64 violet
Rectangle 61, 48, 92, 87 blue
Rectangle 24, 3, 55, 42 blue
Rectangle 73, 52, 112, 83 green
Triangle 77, 84, 22, 72, 8, 25 orange
Triangle 5, 86, 42, 79, 35, 15 violet
Triangle 30, 27, 59, 67, 94, 32 orange
Triangle 24, 87, 15, 54, 96, 83 indigo
Triangle 93, 14, 15, 65, 50, 73 red
Rectangle 19, 23, 47, 66 indigo
Rectangle 97, 25, 140, 53 green
Rectangle 46, 52, 74, 95 violet
Triangle 88, 69, 41, 53, 74, 13 orange
Rectangle 57, 92, 100, 120 red
Rectangle 59, 14, 87, 57 blue
Triangle 93, 11, 76, 57, 20, 67 red
Triangle 56, 12, 9, 37, 60, 61 red
Triangle 9, 30, 56, 76, 52, 21 green
Rectangle 85, 9, 125, 39 yellow
Rectangle 89, 63, 113, 113 violet
Rectangle 30, 95, 60, 135 blue
Rectangle 16, 74, 66, 98 indigo
Triangle 48, 6, 21, 43, 61, 77 orange
Rectangle 22, 37, 68, 63 blue
Rectangle 33, 94, 59, 140 violet
Triangle 3, 65, 30, 94, 63, 41 orange
Triangle 4, 82, 66, 43, 0, 46 blue
Triangle 82, 27, 78, 64, 18, 23 yellow
Rectangle 88, 1, 123, 35 yellow
Rectangle 69, 39, 98, 80 indigo
Rectangle 23, 95, 52, 136 indigo
Rectangle 40, 45, 81, 74 blue
Rectangle 57, 75, 98, 104 orange
Rectangle 65, 79, 92, 123 yellow
Rectangle 49, 12, 85, 45 orange
Rectangle 73, 78, 109, 111 red
Triangle 75, 99, 35, 46, 67, 29 blue
Rectangle 73, 73, 100, 117 yellow
Rectangle 43, 15, 76, 51 yellow
Triangle 90, 31, 15, 81, 68, 14 violet
Triangle 45, 94, 23, 68, 72, 18 indigo
Triangle 50, 1, 86, 23, 19, 48 green
Triangle 13, 8, 46, 46, 98, 34 yellow
Triangle 71, 86, 78, 34, 30, 52 blue
Triangle 97, 88, 88, 0, 67, 58 indigo
Rectangle 33, 8, 70, 40 blue
Triangle 19, 67, 80, 78, 18, 28 yellow
Rectangle 85, 88, 122, 120 orange
Rectangle 47, 94, 79, 131 red
Rectangle 21, 83, 53, 120 violet
Triangle 5, 29, 53, 89, 66, 56 yellow
Triangle 59, 99, 16, 73, 92, 64 orange
Triangle 99, 30, 21, 76, 24, 44 orange
Triangle 57, 4, 25, 16, 96, 63 green
Rectangle 77, 93, 108, 131 yellow
Rectangle 56, 73, 87, 111 indigo
Rectangle 59, 96, 97, 127 violet
Triangle 48, 87, 13, 60, 86, 49 violet
Triangle 15, 93, 89, 96, 84, 64 violet
Rectangle 76, 87, 104, 129 indigo
Rectangle 73, 97, 122, 121 indigo
Triangle 1, 32, 89, 15, 41, 51 yellow
Rectangle 3, 15, 45, 43 orange
Rectangle 34, 7, 62, 49 blue
Triangle 28, 48, 14, 91, 97, 4 yellow
Triangle 8, 44, 38, 88, 58, 39 orange
Rectangle 56, 54, 81, 101 green
Triangle 91, 89, 35, 85, 20, 42 orange
Triangle 99, 72, 42, 7, 62, 71 indigo
Triangle 5, 51, 78, 44, 27, 81 blue
Triangle 99, 37, 38, 88, 22, 63 orange
Rectangle 94, 60, 133, 90 orange
Rectangle 43, 49, 73, 88 yellow
Rectangle 78, 14, 108, 53 indigo
Rectangle 9, 98, 54, 124 green
Rectangle 13, 82, 58, 108 green
Triangle 72, 75, 63, 30, 18, 65 blue
Triangle 8, 5, 51, 52, 36, 90 blue
Triangle 55, 94, 41, 8, 13, 3 orange
Triangle 87, 98, 89, 29, 54, 68 red
Triangle 34, 93, 67, 30, 21, 47 violet
Triangle 21, 47, 78, 44, 78, 85 orange
Triangle 50, 26, 93, 46, 0, 57 red
Triangle 99, 78, 50, 25, 43, 65 yellow
Triangle 35, 28, 91, 20, 88, 62 yellow
Rectangle 39, 48, 82, 75 red
Rectangle 97, 90, 140, 117 indigo
Triangle 91, 57, 33, 28, 77, 10 orange
Rectangle 49, 8, 89, 37 yellow
Rectangle 1, 26, 30, 66 violet
Triangle 10, 94, 46, 83, 74, 10 orange
Triangle 21, 44, 69, 71, 66, 21 yellow
Triangle 89, 90, 41, 85, 5, 33 blue
Rectangle 96, 94, 130, 128 red
Rectangle 74, 42, 108, 76 blue
Rectangle 35, 58, 68, 93 green
Rectangle 92, 88, 127, 121 red
Rectangle 51, 74, 86, 107 indigo
Rectangle 53, 19, 86, 54 violet
Triangle 83, 45, 77, 81, 18, 50 indigo
Rectangle 98, 59, 133, 92 green
Triangle 53, 74, 77, 9, 9, 97 blue
Triangle 37, 37, 55, 77, 92, 31 yellow
Triangle 50, 19, 98, 43, 68, 76 green
Rectangle 72, 7, 96, 55 yellow
Rectangle 97, 71, 133, 103 red
Rectangle 77, 15, 125, 39 orange
Rectangle 36, 23, 68, 59 green
Triangle 97, 84, 49, 42, 33, 76 yellow
Rectangle 71, 51, 119, 75 blue
Rectangle 89, 33, 125, 65 orange
Rectangle 0, 17, 36, 49 red
Triangle 3, 7, 29, 76, 36, 6 orange
Rectangle 8, 50, 33, 96 red
Rectangle 99, 10, 124, 56 blue
Rectangle 99, 4, 122, 54 orange
Rectangle 48, 69, 71, 119 orange
Rectangle 37, 61, 83, 86 red
Triangle 26, 76, 73, 49, 85, 91 violet
Triangle 67, 51, 9, 66, 53, 15 orange
Rectangle 73, 42, 101, 83 green
Rectangle 61, 6, 89, 47 yellow
Triangle 0, 27, 33, 24, 17, 95 indigo
Rectangle 53, 30, 84, 67 blue
Rectangle 57, 92, 101, 118 yellow
Triangle 24, 55, 98, 99, 46, 99 orange
Rectangle 72, 11, 98, 55 red
Rectangle 20, 48, 46, 92 blue
Triangle 78, 11, 37, 36, 89, 60 orange
Triangle 47, 77, 62, 10, 19, 50 green
Rectangle 68, 62, 106, 92 red
Rectangle 94, 43, 132, 73 yellow
Rectangle 51, 32, 81, 70 yellow
Rectangle 72, 29, 110, 59 violet
Triangle 59, 99, 66, 58, 14, 37 violet
Triangle 14, 67, 99, 68, 35, 94 green
Triangle 66, 84, 93, 69, 35, 17 yellow
Triangle 31, 38, 74, 65, 77, 14 red
Triangle 12, 78, 76, 75, 23, 42 green
Triangle 85, 66, 14, 24, 36, 69 indigo
Circle 44, 95, 19 yellow
Circle 14, 25, 19 green
Circle 49, 43, 19 indigo
Circle 31, 23, 19 orange
Circle 3, 74, 19 red
Circle 77, 93, 19 indigo
Circle 18, 5, 19 blue
Circle 77, 42, 19 red
Circle 7, 69, 19 blue
Circle 47, 4, 19 violet
Circle 6, 74, 19 blue
Circle 53, 25, 19 violet
Circle 38, 73, 19 violet
Circle 11, 53, 19 orange
Circle 26, 53, 19 violet
Circle 47, 65, 19 indigo
Circle 53, 75, 19 violet
Circle 27, 33, 19 violet
Circle 64, 93, 19 orange
Circle 53, 4, 19 red
Circle 52, 72, 19 green
Circle 27, 36, 19 green
Circle 43, 7, 19 yellow
Circle 17, 96, 19 yellow
Circle 99, 32, 19 blue
Circle 40, 63, 19 blue
Circle 25, 96, 19 orange
Circle 70, 8, 19 green
Circle 92, 90, 19 indigo
Circle 17, 69, 19 green
Circle 49, 17, 19 violet
Circle 43, 25, 19 orange
Circle 37, 18, 19 blue
Circle 56, 71, 19 red
Circle 82, 13, 19 indigo
Circle 30, 66, 19 orange
Circle 49, 95, 19 indigo
Circle 51, 52, 19 indigo
Circle 98, 38, 19 green
Circle 1, 83, 19 blue
Circle 27, 98, 19 green
Circle 6, 51, 19 red
Circle 78, 34, 19 indigo
Circle 25, 96, 19 blue
Circle 15, 79, 19 red
Circle 18, 73, 19 blue
Circle 44, 40, 19 red
Circle 35, 98, 19 blue
Circle 36, 7, 19 orange
Circle 22, 98, 19 orange
Circle 90, 46, 19 orange
Circle 30, 95, 19 green
Circle 13, 24, 19 orange
Circle 56, 81, 19 green
Circle 12, 81, 19 orange
Circle 40, 67, 19 violet
Circle 95, 94, 19 red
Circle 92, 58, 19 orange
Circle 46, 48, 19 red
Circle 97, 97, 19 green
Rectangle 26, 14, 68, 41 green
Rectangle 99, 19, 141, 46 orange
Triangle 49, 57, 28, 27, 0, 95 yellow
Rectangle 63, 31, 102, 60 orange
Triangle 69, 78, 9, 1, 89, 66 yellow
Triangle 47, 58, 7, 39, 67, 11 red
Triangle 8, 55, 76, 97, 6, 87 blue
Triangle 26, 39, 77, 34, 70, 79 indigo
Rectangle 68, 8, 92, 55 yellow
Triangle 77, 13, 16, 66, 62, 63 indigo
Triangle 66, 14, 15, 45, 91, 43 orange
Triangle 96, 89, 0, 7, 31, 10 blue
Rectangle 88, 70, 111, 119 blue
Rectangle 35, 35, 84, 58 blue
Rectangle 82, 88, 105, 137 green
Rectangle 40, 57, 63, 106 orange
Rectangle 88, 87, 137, 110 red
Triangle 40, 30, 79, 0, 28, 97 yellow
Triangle 89, 6, 45, 34, 18, 0 green
Rectangle 42, 87, 67, 132 violet
Rectangle 73, 73, 118, 98 blue
Rectangle 78, 29, 123, 54 red
Rectangle 62, 47, 107, 72 orange
Rectangle 99, 91, 144, 116 orange
Triangle 66, 3, 32, 78, 86, 25 green
Triangle 35, 38, 21, 81, 68, 97 green
Rectangle 81, 70, 114, 104 blue
Triangle 47, 22, 68, 93, 86, 47 yellow
Rectangle 18, 20, 52, 53 blue
Rectangle 31, 44, 65, 77 blue
Triangle 95, 45, 40, 23, 28, 59 green
Rectangle 46, 39, 79, 73 yellow
Triangle 9, 27, 68, 18, 81, 54 yellow
Rectangle 93, 79, 121, 119 indigo
Rectangle 22, 8, 62, 36 red
Rectangle 7, 53, 35, 93 violet
Rectangle 48, 42, 88, 70 yellow
Triangle 40, 47, 86, 64, 50, 2 indigo
Rectangle 26, 30, 66, 58 violet
Rectangle 29, 85, 57, 125 red
Triangle 48, 86, 17, 72, 64, 21 orange
Triangle 42, 41, 78, 3, 81, 62 indigo
Triangle 51, 76, 12, 6, 93, 94 orange
Triangle 70, 12, 60, 71, 28, 36 orange
Rectangle 77, 7, 120, 33 yellow
Rectangle 53, 56, 96, 82 green
Rectangle 79, 24, 105, 67 green
Rectangle 3, 80, 46, 106 orange
Triangle 72, 97, 29, 54, 69, 42 red
Triangle 91, 0, 96, 20, 4, 99 blue
Triangle 3, 67, 42, 53, 93, 92 indigo
Triangle 73, 87, 40, 40, 3, 55 orange
Rectangle 20, 18, 56, 49 yellow
Rectangle 28, 89, 64, 120 yellow
Triangle 28, 28, 16, 74, 70, 53 yellow
Rectangle 19, 87, 50, 123 orange
Triangle 3, 79, 95, 10, 86, 41 violet
Triangle 61, 13, 25, 54, 60, 76 yellow
Triangle 47, 64, 54, 0, 82, 62 green
Triangle 2, 20, 98, 3, 31, 38 orange
Rectangle 3, 33, 40, 63 red
Rectangle 29, 51, 66, 81 yellow
Rectangle 39, 28, 69, 65 indigo
Triangle 31, 82, 89, 81, 16, 44 green
Triangle 14, 0, 61, 77, 31, 75 red
Triangle 3, 68, 23, 84, 59, 2 red
Triangle 39, 6, 46, 89, 13, 14 orange
Rectangle 14, 22, 41, 63 blue
Triangle 66, 73, 11, 2, 53, 16 red
Rectangle 23, 51, 71, 74 blue
Rectangle 86, 13, 132, 37 orange
Rectangle 61, 48, 107, 72 indigo
Rectangle 98, 91, 146, 114 blue
Rectangle 74, 79, 120, 103 red
Triangle 85, 84, 56, 26, 54, 98 violet
Rectangle 13, 96, 51, 125 blue
Triangle 79, 34, 45, 64, 43, 1 orange
Triangle 63, 33, 29, 80, 99, 48 orange
Triangle 27, 95, 4, 69, 86, 66 orange
Rectangle 96, 3, 118, 53 indigo
Rectangle 43, 92, 65, 142 indigo
Rectangle 97, 81, 141, 106 orange
Rectangle 23, 44, 48, 88 yellow
Triangle 6, 24, 98, 8, 63, 38 violet
Rectangle 77, 17, 99, 67 yellow
Triangle 20, 14, 85, 84, 96, 62 yellow
Rectangle 76, 55, 101, 99 indigo
Triangle 58, 93, 86, 50, 18, 76 indigo
Triangle 17, 56, 81, 34, 47, 80 indigo
Triangle 93, 66, 25, 37, 96, 35 blue
Triangle 90, 19, 59, 34, 73, 98 green
Triangle 38, 49, 15, 88, 86, 63 indigo
Triangle 31, 93, 38, 7, 11, 26 indigo
Triangle 60, 82, 80, 16, 32, 65 yellow
Triangle 94, 32, 19, 97, 65, 28 violet
Triangle 18, 40, 4, 69, 89, 49 green
Rectangle 18, 14, 44, 56 yellow
Rectangle 48, 77, 74, 119 green
Triangle 68, 31, 92, 64, 15, 49 green
Rectangle 90, 43, 123, 76 violet
Rectangle 4, 8, 37, 41 indigo
Triangle 0, 56, 59, 23, 91, 42 orange
Rectangle 44, 35, 78, 67 violet
Rectangle 91, 0, 125, 32 green
Triangle 44, 90, 96, 15, 67, 15 orange
Triangle 24, 32, 14, 78, 63, 70 red
Triangle 12, 3, 7, 67, 44, 28 red
Triangle 93, 76, 78, 92, 7, 23 indigo
Triangle 17, 59, 47, 86, 44, 11 orange
